Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,Standardized_Occupation_Name
Credit authorizers checkers and clerks,34485,3668.0,10482,2082.0,24003,2969.0,69.6,4.9,44388,1946,58500,14438,42936,1447,73.4,19.5,2022,0.04844361442200893,credit authorizers checkers and clerks,43-4041.00,"Credit Authorizers, Checkers, and Clerks",43-4041,"Credit Authorizers, Checkers, and Clerks",credit authorizers checkers and clerks
Customer service representatives,2108914,31296.0,696037,16367.0,1412877,26270.0,67.0,0.7,41370,212,45658,874,40097,321,87.8,2,2022,2.851513086436058,customer service representatives,43-4051.00,Customer Service Representatives,43-4051,Customer Service Representatives,customer service representatives
Eligibility interviewers government programs,77316,6159.0,15366,2199.0,61950,5251.0,80.1,2.4,50543,1291,60667,4251,48354,2019,79.7,6.2,2022,0.12502945104542987,eligibility interviewers government programs,43-4061.00,"Eligibility Interviewers, Government Programs",43-4061,"Eligibility Interviewers, Government Programs",eligibility interviewers government programs
File clerks,96686,5197.0,24360,3344.0,72326,4571.0,74.8,3.0,41600,805,42364,2717,41383,863,97.7,6.3,2022,0.14597062270075484,file clerks,43-4071.00,File Clerks,43-4071,File Clerks,file clerks
Hotel motel and resort desk clerks,70171,4652.0,28886,3667.0,41285,3861.0,58.8,4.2,29720,1213,31783,1098,27806,1404,87.5,5.6,2022,0.0833226938887905,hotel motel and resort desk clerks,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",43-4081,"Hotel, Motel, and Resort Desk Clerks",hotel motel and resort desk clerks
Interviewers except eligibility and loan,137223,7818.0,30032,3495.0,107191,6822.0,78.1,2.2,37872,1024,38935,1606,37468,1044,96.2,4.5,2022,0.21633626936256128,interviewers except eligibility and loan,43-4111.00,"Interviewers, Except Eligibility and Loan",43-4111,"Interviewers, Except Eligibility and Loan",interviewers except eligibility and loan
Library assistants clerical,39045,3229.0,9004,1697.0,30041,3006.0,76.9,4.0,38400,1660,44515,2030,36641,1500,82.3,5.3,2022,0.060629697156670846,library assistants clerical,43-4121.00,"Library Assistants, Clerical",43-4121,"Library Assistants, Clerical",library assistants clerical
Loan interviewers and clerks,134100,7791.0,29804,2807.0,104296,6848.0,77.8,1.8,53499,1683,55997,4358,52955,1833,94.6,8.2,2022,0.21049348872048673,loan interviewers and clerks,43-4131.00,Loan Interviewers and Clerks,43-4131,Loan Interviewers and Clerks,loan interviewers and clerks
New accounts clerks,9954,1782.0,2997,1372.0,6957,1498.0,69.9,11.6,42090,3522,69491,37836,40597,2015,(X),(X),2022,0.014040837625876604,new accounts clerks,43-4141.00,New Accounts Clerks,43-4141,New Accounts Clerks,new accounts clerks
Order clerks,65223,4695.0,30838,3576.0,34385,3553.0,52.7,4.1,40953,1004,42307,3092,40105,2024,94.8,8.6,2022,0.06939689546726563,order clerks,43-4151.00,Order Clerks,43-4151,Order Clerks,order clerks
Human resources assistants except payroll and timekeeping,82093,6295.0,17075,2768.0,65018,5397.0,79.2,2.9,58281,3164,71021,5775,56287,2395,79.3,7.2,2022,0.1312213857638702,human resources assistants except payroll and timekeeping,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",human resources assistants except payroll and timekeeping
Receptionists and information clerks,750839,16389.0,80272,4492.0,670567,15455.0,89.3,0.6,34559,433,39448,1975,34147,431,86.6,4.4,2022,1.35335954639517,receptionists and information clerks,43-4171.00,Receptionists and Information Clerks,43-4171,Receptionists and Information Clerks,receptionists and information clerks
Reservation and transportation ticket agents and travel clerks,90388,6065.0,45249,3711.0,45139,4203.0,49.9,2.8,45994,3802,49818,3115,41464,2904,83.2,6.9,2022,0.0911009586882915,reservation and transportation ticket agents and travel clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,reservation and transportation ticket agents and travel clerks
Information and record clerks all other,75570,4435.0,19136,2435.0,56434,3818.0,74.7,2.8,42195,951,50717,5277,41292,846,81.4,8.7,2022,0.11389688523483114,information and record clerks all other,43-4199.00,"Information and Record Clerks, All Other",43-4199,"Information and Record Clerks, All Other",information and record clerks all other
Cargo and freight agents,20152,2922.0,10986,1917.0,9166,2016.0,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022,0.01849911135241986,cargo and freight agents,43-5011.00,Cargo and Freight Agents,43-5011,Cargo and Freight Agents,cargo and freight agents
Cargo and freight agents,20152,2922.0,10986,1917.0,9166,2016.0,45.5,6.6,50410,4414,61508,2719,41851,1724,68,4,2022,0.01849911135241986,cargo and freight agents,43-5011.01,Freight Forwarders,43-5011,Cargo and Freight Agents,cargo and freight agents
Couriers and messengers,338721,12003.0,271688,11497.0,67033,4840.0,19.8,1.4,39075,856,41323,823,31434,819,76.1,2.7,2022,0.13528812254928652,couriers and messengers,43-5021.00,Couriers and Messengers,43-5021,Couriers and Messengers,couriers and messengers
Public safety telecommunicators,89011,6209.0,31609,3592.0,57402,4734.0,64.5,3.0,49822,2061,53644,4639,47478,2094,88.5,8.5,2022,0.11585053347715521,public safety telecommunicators,43-5031.00,Public Safety Telecommunicators,43-5031,Public Safety Telecommunicators,public safety telecommunicators
Dispatchers except police fire and ambulance,162023,8343.0,74151,5089.0,87872,6931.0,54.2,2.7,46014,1089,52101,1829,41487,787,79.6,3.2,2022,0.17734605201394693,dispatchers except police fire and ambulance,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",dispatchers except police fire and ambulance
Meter readers utilities,15812,2322.0,14185,2147.0,1627,690.0,10.3,4.0,48302,3855,48833,4777,36174,21328,(X),(X),2022,0.0032836629031624603,meter readers utilities,43-5041.00,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities",meter readers utilities
Postal service clerks,108218,7339.0,50954,4336.0,57264,4963.0,52.9,2.6,57431,2833,62120,2239,52300,2344,84.2,4.8,2022,0.1155720175087247,postal service clerks,43-5051.00,Postal Service Clerks,43-5051,Postal Service Clerks,postal service clerks
Postal service mail carriers,301244,9651.0,188178,7524.0,113066,6004.0,37.5,1.6,61859,877,64813,1388,56680,1841,87.5,3.4,2022,0.2281933803374104,postal service mail carriers,43-5052.00,Postal Service Mail Carriers,43-5052,Postal Service Mail Carriers,postal service mail carriers
Postal service mail sorters processors and processing machine operators,50805,4481.0,27976,3136.0,22829,2901.0,44.9,4.0,52996,2833,55348,6007,50992,3994,92.1,13.2,2022,0.046074210458694406,postal service mail sorters processors and processing machine operators,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",postal service mail sorters processors and processing machine operators
Production planning and expediting clerks,239078,9093.0,117293,6465.0,121785,6272.0,50.9,1.9,59645,1806,68540,1519,50161,1740,73.2,3,2022,0.24579034213991408,production planning and expediting clerks,43-5061.00,"Production, Planning, and Expediting Clerks",43-5061,"Production, Planning, and Expediting Clerks",production planning and expediting clerks
Shipping receiving and inventory clerks,514600,12561.0,342668,10844.0,171932,8450.0,33.4,1.4,39681,483,41324,438,36061,614,87.3,2,2022,0.34699860495791524,shipping receiving and inventory clerks,43-5071.00,"Shipping, Receiving, and Inventory Clerks",43-5071,"Shipping, Receiving, and Inventory Clerks",shipping receiving and inventory clerks
Weighers measurers checkers and samplers recordkeeping,64622,4591.0,36504,3642.0,28118,3171.0,43.5,3.9,42892,3170,49678,4280,38743,2258,78,8.7,2022,0.05674863768354152,weighers measurers checkers and samplers recordkeeping,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",weighers measurers checkers and samplers recordkeeping
Executive secretaries and executive administrative assistants,238929,8288.0,13612,1870.0,225317,8203.0,94.3,0.8,66457,1338,63168,6051,66750,1312,105.7,11.4,2022,0.45474190187575664,executive secretaries and executive administrative assistants,43-6011.00,Executive Secretaries and Executive Administrative Assistants,43-6011,Executive Secretaries and Executive Administrative Assistants,executive secretaries and executive administrative assistants
Legal secretaries and administrative assistants,49918,4540.0,2368,1015.0,47550,4244.0,95.3,1.9,55072,2909,60891,5994,54249,2942,(X),(X),2022,0.09596691520920404,legal secretaries and administrative assistants,43-6012.00,Legal Secretaries and Administrative Assistants,43-6012,Legal Secretaries and Administrative Assistants,legal secretaries and administrative assistants
Medical secretaries and administrative assistants,100514,5586.0,8551,1836.0,91963,5497.0,91.5,1.8,40976,729,41143,9078,40972,718,(X),(X),2022,0.1856026377157525,medical secretaries and administrative assistants,43-6013.00,Medical Secretaries and Administrative Assistants,43-6013,Medical Secretaries and Administrative Assistants,medical secretaries and administrative assistants
Secretaries and administrative assistants except legal medical and executive,1505203,21867.0,104869,5940.0,1400334,20383.0,93.0,0.4,43554,389,50397,1331,43062,408,85.4,2.4,2022,2.8261984067837127,secretaries and administrative assistants except legal medical and executive,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",secretaries and administrative assistants except legal medical and executive
Data entry keyers,199714,7737.0,49798,3542.0,149916,7268.0,75.1,1.7,39117,818,42294,1884,38204,971,90.3,4.8,2022,0.3025652168349744,data entry keyers,43-9021.00,Data Entry Keyers,43-9021,Data Entry Keyers,data entry keyers
Word processors and typists,18546,2579.0,2632,795.0,15914,2539.0,85.8,4.4,39859,1951,44432,16004,38796,2570,(X),(X),2022,0.03211813856234013,word processors and typists,43-9022.00,Word Processors and Typists,43-9022,Word Processors and Typists,word processors and typists
Desktop publishers,1958,960.0,1211,794.0,747,574.0,38.2,25.5,62270,19286,73448,12620,50724,3172,(X),(X),2022,0.001507619046504215,desktop publishers,43-9031.00,Desktop Publishers,43-9031,Desktop Publishers,desktop publishers
Insurance claims and policy processing clerks,209533,9381.0,37511,4090.0,172022,8644.0,82.1,1.8,43916,749,52352,3546,42396,560,81,5.2,2022,0.34718024580689166,insurance claims and policy processing clerks,43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041,Insurance Claims and Policy Processing Clerks,insurance claims and policy processing clerks
Mail clerks and mail machine operators except postal service,35948,3798.0,18444,2715.0,17504,2441.0,48.7,4.8,36818,1390,39923,2008,35025,1617,87.7,5.6,2022,0.03532712689425673,mail clerks and mail machine operators except postal service,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",mail clerks and mail machine operators except postal service
Office clerks general,821193,13879.0,146046,6991.0,675147,12872.0,82.2,0.8,40976,290,43344,1434,40659,321,93.8,3.3,2022,1.362603047376414,office clerks general,43-9061.00,"Office Clerks, General",43-9061,"Office Clerks, General",office clerks general
Office machine operators except computer,19501,2953.0,8849,1845.0,10652,2111.0,54.6,6.7,36252,2964,41003,5991,31554,2010,(X),(X),2022,0.02149820359218594,office machine operators except computer,43-9071.00,"Office Machine Operators, Except Computer",43-9071,"Office Machine Operators, Except Computer",office machine operators except computer
Proofreaders and copy markers,6456,1370.0,1457,584.0,4999,1125.0,77.4,7.4,46136,4307,53507,5310,42373,4718,(X),(X),2022,0.010089140044812008,proofreaders and copy markers,43-9081.00,Proofreaders and Copy Markers,43-9081,Proofreaders and Copy Markers,proofreaders and copy markers
Statistical assistants,23890,2817.0,11685,1881.0,12205,1832.0,51.1,5.1,61689,2557,64470,6330,59542,3728,92.4,10.8,2022,0.02463251735285668,statistical assistants,43-9111.00,Statistical Assistants,43-9111,Statistical Assistants,statistical assistants
Office and administrative support workers all other,451335,11800.0,121573,6669.0,329762,9102.0,73.1,1.2,47979,775,54109,1516,46177,588,85.3,2.7,2022,0.6655361071128821,office and administrative support workers all other,43-9199.00,"Office and Administrative Support Workers, All Other",43-9199,"Office and Administrative Support Workers, All Other",office and administrative support workers all other
Natural Resources Construction and Maintenance Occupations,10738294,68884.0,10288762,68755.0,449532,12690.0,4.2,0.1,51155,141,51568,143,37784,958,73.3,1.8,2022,0.9072597124673799,natural resources construction and maintenance occupations,,,,,
Farming Fishing and Forestry Occupations,599195,15076.0,478411,13005.0,120784,6594.0,20.2,0.9,35511,413,37396,474,29304,1269,78.4,3.4,2022,0.2437700922529653,farming fishing and forestry occupations,,,,,
Firstline supervisors of farming fishing and forestry workers,40401,3583.0,34810,3243.0,5591,1405.0,13.8,3.1,53892,2282,54908,2291,45011,8772,(X),(X),2022,0.011283933184745737,firstline supervisors of farming fishing and forestry workers,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",firstline supervisors of farming fishing and forestry workers
Agricultural inspectors,10816,1907.0,7309,1481.0,3507,1021.0,32.4,7.2,51558,5579,54320,6232,48915,2514,(X),(X),2022,0.007077938415114165,agricultural inspectors,45-2011.00,Agricultural Inspectors,45-2011,Agricultural Inspectors,agricultural inspectors
Animal breeders,6161,1364.0,4211,1140.0,1950,698.0,31.7,9.4,39600,7765,41198,9536,36541,9098,(X),(X),2022,0.003935551727822248,animal breeders,45-2021.00,Animal Breeders,45-2021,Animal Breeders,animal breeders
Graders and sorters agricultural products,32517,3545.0,11241,2136.0,21276,3099.0,65.4,5.7,32162,1608,41573,3212,30267,1934,72.8,7.2,2022,0.04293989669802366,graders and sorters agricultural products,45-2041.00,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products",graders and sorters agricultural products
Miscellaneous agricultural workers,437891,12331.0,353605,10959.0,84286,5460.0,19.2,1.1,32681,606,35187,489,27054,738,76.9,2.3,2022,0.17010867329806462,miscellaneous agricultural workers,,,,,
Fishing and hunting workers,20879,2969.0,19980,2900.0,899,572.0,4.3,2.7,44273,4832,44817,4993,41622,17730,(X),(X),2022,0.001814390258108821,fishing and hunting workers,45-3031.00,Fishing and Hunting Workers,45-3031,Fishing and Hunting Workers,fishing and hunting workers
Forest and conservation workers,12887,1763.0,10573,1637.0,2314,727.0,18.0,5.2,44896,5168,48045,3758,34028,889,(X),(X),2022,0.004670188050349067,forest and conservation workers,45-4011.00,Forest and Conservation Workers,45-4011,Forest and Conservation Workers,forest and conservation workers
Logging workers,37643,2953.0,36682,2861.0,961,448.0,2.6,1.2,41369,1444,41561,1483,29128,4607,(X),(X),2022,0.0019395206207370155,logging workers,,,,,
Construction and Extraction Occupations,5992219,52477.0,5806646,51165.0,185573,8412.0,3.1,0.1,50311,217,50558,221,40164,1258,79.4,2.5,2022,0.3745293029677733,construction and extraction occupations,,,,,
Firstline supervisors of construction trades and extraction workers,587435,14669.0,565155,14560.0,22280,2969.0,3.8,0.5,65656,1134,66251,1255,52112,4806,78.7,7.6,2022,0.04496620127993829,firstline supervisors of construction trades and extraction workers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,firstline supervisors of construction trades and extraction workers
Firstline supervisors of construction trades and extraction workers,587435,14669.0,565155,14560.0,22280,2969.0,3.8,0.5,65656,1134,66251,1255,52112,4806,78.7,7.6,2022,0.04496620127993829,firstline supervisors of construction trades and extraction workers,47-1011.03,Solar Energy Installation Managers,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,firstline supervisors of construction trades and extraction workers
Boilermakers,8834,1595.0,8653,1607.0,181,217.0,2.0,2.5,80405,10066,80544,10027,-,**,-,**,2022,0.0003652999296081163,boilermakers,47-2011.00,Boilermakers,47-2011,Boilermakers,boilermakers
Brickmasons blockmasons and stonemasons,90674,6768.0,89868,6690.0,806,520.0,0.9,0.6,46331,1987,46505,2014,25968,11011,(X),(X),2022,0.0016266947141665292,brickmasons blockmasons and stonemasons,,,,,
Carpenters,886647,19804.0,869538,19243.0,17109,2693.0,1.9,0.3,46349,788,46567,799,32484,6210,69.8,13.2,2022,0.034529925390415814,carpenters,47-2031.00,Carpenters,47-2031,Carpenters,carpenters
Carpet floor and tile installers and finishers,96342,7531.0,92820,7366.0,3522,1506.0,3.7,1.5,41543,1116,41648,1084,34855,9350,(X),(X),2022,0.007108211889943567,carpet floor and tile installers and finishers,,,,,
Cement masons concrete finishers and terrazzo workers,38585,3589.0,38093,3556.0,492,396.0,1.3,1.0,50305,2181,50417,2107,33804,33866,(X),(X),2022,0.0009929699744043825,cement masons concrete finishers and terrazzo workers,,,,,
